case_id,root_cause,osi_layer,confidence,evidence,next_command,fix_steps,expected_fault,agrees,concept_tag,review_status,reviewer_note,corrected_root_cause
C011,Switchport access port Fa0/12 assigned to VLAN 99 which does not exist in switch VLAN database,Layer 2,high,SW3 show vlan brief shows VLAN99 not created and show interfaces switchport shows 'Access Mode VLAN: 99 (Inactive)',show vlan brief,Create VLAN 99 on SW3 using 'vlan 99'; Assign descriptive name and verify port status active,Port assigned to a VLAN that was never created,True,VLAN,Accepted,Verified port Fa0/12 in inactive uncreated VLAN 99,
C012,VLAN 20 is missing from the switchport trunk allowed-VLAN list on SW1 interface Gi0/1,Layer 2,high,"SW1 show interfaces trunk shows 'Vlans allowed on trunk: 10' while SW2 allows 10,20",show interfaces trunk,Configure 'switchport trunk allowed vlan add 20' on SW1 interface Gi0/1,VLAN20 not permitted in trunk allowed-VLAN list on SW1,True,VLAN,Accepted,Verified VLAN 20 missing from SW1 trunk allowed list,
C013,Access Control List (ACL BLOCK_SALES) on router interface is dropping inter-VLAN IP traffic,Layer 3/4,high,show access-lists output displays '10 deny ip 10.0.10.0 0.0.0.255 10.0.30.0 0.0.0.255',show ip interface Gi0/0.30,Remove or update deny rule 10 in ACL BLOCK_SALES; Apply permit rule for inter-VLAN communications,ACL blocking inter-VLAN traffic,True,ACL,Accepted,Verified inter-VLAN ACL blocking rule,
C014,Guest Wi-Fi SSID is improperly mapped to corporate VLAN 10 instead of isolated guest VLAN,Layer 2,high,WLC1 show wlan summary shows 'Guest-SSID Interface: VLAN10 (Corp)',show wlan summary,Change Guest-SSID interface mapping on WLC1 to isolated Guest VLAN; Verify client isolation settings,Guest SSID mapped to internal Corp VLAN instead of isolated guest VLAN,True,Wireless,Accepted,Verified guest Wi-Fi VLAN mapping error,
C015,DHCP address pool for VLAN20 is completely exhausted (254 of 254 addresses leased),Layer 3,high,R1 show ip dhcp pool shows 'Total addresses: 254 | Leased addresses: 254',show ip dhcp binding,Expand DHCP pool subnet size or shorten lease duration; Clear stale DHCP bindings using 'clear ip dhcp binding *',DHCP pool exhausted for VLAN20,True,DHCP,Accepted,Verified DHCP pool capacity exhaustion,
C016,Missing route in router routing table to DNS server subnet (10.0.99.0/24),Layer 3,high,"PC3 nslookup timed out and R1 show ip route confirms '10.0.99.0/24 is not directly connected, no route'",show ip route 10.0.99.0,Add static route 'ip route 10.0.99.0 255.255.255.0 <next-hop>' on R1; Verify reachability with ping 10.0.99.9,Missing route to DNS server subnet,True,DNS,Accepted,Verified missing static route to DNS server,
C017,Duplicate static IP address (10.0.15.20) assigned to multiple hosts on VLAN 15,Layer 3,high,ipconfig output on both PC5 and PC6 shows identical IP address 10.0.15.20,show mac address-table dynamic,Reconfigure PC6 with an unassigned unique static IP; Verify IP uniqueness using ping/ARP check,Duplicate static IP assigned to two hosts,True,DHCP,Accepted,Verified static IP duplicate conflict on host network,
C018,OSPF Hello and Dead timer interval mismatch between router neighbors on Gi0/1,Layer 3,high,R1 has Hello 10 / Dead 40 while R2 has Hello 5 / Dead 20 on interface Gi0/1,show ip ospf interface gi0/1,Configure 'ip ospf hello-interval 10' on R2 Gi0/1; Configure 'ip ospf dead-interval 40' on R2 Gi0/1,OSPF hello/dead timer mismatch between neighbors,True,Routing,Accepted,Verified OSPF timer mismatch between neighbors,
C019,WAN Serial interface Serial0/0/0 is administratively down,Layer 1,high,R-Branch show ip interface brief displays 'Serial0/0/0 10.0.200.1 YES manual administratively down down',show interface Serial0/0/0,Enter interface configuration mode for Serial0/0/0; Issue 'no shutdown' command to bring up physical link,WAN interface administratively down,False,Routing,Edited,Physical WAN interface is admin down (Layer 1 issue),WAN interface Serial0/0/0 administratively down
C020,NAT inside configuration missing on internal interface (Gi0/1 has 'no ip nat inside'),Layer 3,high,show run section nat shows 'interface Gi0/1 | no ip nat inside' and zero translations in table,show running-config interface Gi0/1,Apply 'ip nat inside' to internal interface Gi0/1 under interface configuration mode,NAT inside interface not applied on internal interface,True,NAT,Accepted,Verified missing ip nat inside statement on Gi0/1,
C021,Overlapping static NAT translation and NAT overload pool sharing the same public IP address (203.0.113.5),Layer 3,high,show ip nat translations shows duplicate inside global address 203.0.113.5 mapped to both 10.0.10.50 and 10.0.10.99,show running-config | include ip nat,Assign distinct public IP to static NAT mapping; Clear existing translations using 'clear ip nat translation *',Overlapping static NAT and overload pool causing address conflict,True,NAT,Accepted,Verified NAT address overlap,
C022,Default gateway misconfigured on host to wrong subnet (GW 10.0.24.1 vs Host IP 10.0.25.50),Layer 3,high,"PC7 ipconfig shows IP 10.0.25.50 with GW 10.0.24.1, while R1 subinterface Gi0/0.25 is 10.0.25.1",show ip interface brief,Reconfigure PC7 default gateway to 10.0.25.1; Verify IP connectivity to gateway,Default gateway misconfigured to wrong subnet on host,True,Gateway,Accepted,Verified gateway misconfiguration on host,
C023,Switchport access port Fa0/12 assigned to VLAN 99 which does not exist in switch VLAN database,Layer 2,high,SW3 show vlan brief shows VLAN99 not created and show interfaces switchport shows 'Access Mode VLAN: 99 (Inactive)',show vlan brief,Create VLAN 99 on SW3 using 'vlan 99'; Assign descriptive name and verify port status active,Port assigned to a VLAN that was never created,True,VLAN,Accepted,Verified uncreated VLAN 99 access mode,
C024,VLAN 20 is missing from the switchport trunk allowed-VLAN list on SW1 interface Gi0/1,Layer 2,high,"SW1 show interfaces trunk shows 'Vlans allowed on trunk: 10' while SW2 allows 10,20",show interfaces trunk,Configure 'switchport trunk allowed vlan add 20' on SW1 interface Gi0/1,VLAN20 not permitted in trunk allowed-VLAN list on SW1,True,VLAN,Accepted,Verified missing VLAN 20 on trunk allowed list,
C025,Access Control List (ACL BLOCK_SALES) on router interface is dropping inter-VLAN IP traffic,Layer 3/4,high,show access-lists output displays '10 deny ip 10.0.10.0 0.0.0.255 10.0.30.0 0.0.0.255',show ip interface Gi0/0.30,Remove or update deny rule 10 in ACL BLOCK_SALES; Apply permit rule for inter-VLAN communications,ACL blocking inter-VLAN traffic,True,ACL,Accepted,Verified ACL inter-VLAN blocking rule,
C026,Guest Wi-Fi SSID is improperly mapped to corporate VLAN 10 instead of isolated guest VLAN,Layer 2,high,WLC1 show wlan summary shows 'Guest-SSID Interface: VLAN10 (Corp)',show wlan summary,Change Guest-SSID interface mapping on WLC1 to isolated Guest VLAN; Verify client isolation settings,Guest SSID mapped to internal Corp VLAN instead of isolated guest VLAN,True,Wireless,Accepted,Verified WLC guest SSID mapping error,
C027,DHCP address pool for VLAN20 is completely exhausted (254 of 254 addresses leased),Layer 3,high,R1 show ip dhcp pool shows 'Total addresses: 254 | Leased addresses: 254',show ip dhcp binding,Expand DHCP pool subnet size or shorten lease duration; Clear stale DHCP bindings using 'clear ip dhcp binding *',DHCP pool exhausted for VLAN20,True,DHCP,Accepted,Verified DHCP pool capacity exhaustion,
C028,Missing route in router routing table to DNS server subnet (10.0.99.0/24),Layer 3,high,"PC3 nslookup timed out and R1 show ip route confirms '10.0.99.0/24 is not directly connected, no route'",show ip route 10.0.99.0,Add static route 'ip route 10.0.99.0 255.255.255.0 <next-hop>' on R1; Verify reachability with ping 10.0.99.9,Missing route to DNS server subnet,True,DNS,Accepted,Verified missing static route to DNS subnet,
C029,Duplicate static IP address (10.0.15.20) assigned to multiple hosts on VLAN 15,Layer 3,high,ipconfig output on both PC5 and PC6 shows identical IP address 10.0.15.20,show mac address-table dynamic,Reconfigure PC6 with an unassigned unique static IP; Verify IP uniqueness using ping/ARP check,Duplicate static IP assigned to two hosts,True,DHCP,Accepted,Verified duplicate static IP assignment,
C030,OSPF Hello and Dead timer interval mismatch between router neighbors on Gi0/1,Layer 3,high,R1 has Hello 10 / Dead 40 while R2 has Hello 5 / Dead 20 on interface Gi0/1,show ip ospf interface gi0/1,Configure 'ip ospf hello-interval 10' on R2 Gi0/1; Configure 'ip ospf dead-interval 40' on R2 Gi0/1,OSPF hello/dead timer mismatch between neighbors,True,Routing,Accepted,Verified OSPF timer mismatch between neighbors,
